feature,rmse
f190486d6,0.6184843797037574
1931ccfdd,0.618566495718698
e176a204a,0.6188569127767279
9fd594eec,0.6195473942668097
703885424,0.6207757036068686
66ace2992,0.6207954493361966
20aa07010,0.6211660079833188
1db387535,0.6220059648823874
c47340d97,0.62236546954441
de4e75360,0.6230727218827378
324921c7b,0.6234775589577058
491b9ee45,0.624108265963797
bb1113dbb,0.6242198084462689
c2dae3a5a,0.6243425916174021
3f4a39818,0.624544370904312
27461b158,0.6249225321120356
adb64ff71,0.6249270608847016
62e59a501,0.6250690820663984
84d9d1228,0.6251200654378241
58e2e02e6,0.6252336670472627
0572565c2,0.6253620981750108
f74e8f13d,0.625372036191304
b43a7cfd5,0.6255572538756781
c8d582dd2,0.6255848072809929
70feb1494,0.6257610359368826
fc99f9426,0.625772822862893
b98f3e0d7,0.6259075370320812
32174174c,0.6263199184520999
0ff32eb98,0.6267527271203541
fb0f5dbfe,0.6267529465549755
c928b4b74,0.6268097290328961
91f701ba2,0.6270799241726672
540cc3cd1,0.627825150579894
45f6d00da,0.6279092365245984
f39074b55,0.6281424539117302
ba42e41fa,0.628219926078321
47cd6e6e4,0.6283813572237634
87ffda550,0.6285577780521653
350473311,0.6286255982647746
83635fb67,0.6286893689438373
c5a231d81,0.6288709696161011
5ac278422,0.6289053194873893
024c577b9,0.6289597141497807
c944a48b5,0.6289956802137935
15ace8c9f,0.6290814576605043
ad009c8b9,0.6293432148841527
f58fb412c,0.6294015468812887
277ef93fc,0.6296032073832502
861076e21,0.6298219013037775
eeb9cd3aa,0.6299846336707784
72d34a148,0.6300230193279642
e078302ef,0.6300430925666082
2b2a10857,0.6300633578679471
ecb354edf,0.6300900225168713
57dd44c29,0.6301145854928505
f02ecb19c,0.6301848561638511
1c71183bb,0.6301881079962384
8e4d0fe45,0.630290158502604
2288333b4,0.6303477903232292
4d2671746,0.6303530815771484
a3fc511cd,0.6303832332082223
fb49e4212,0.6304000790249747
ea772e115,0.6304210992877923
ce3d7595b,0.6305027819167804
191e21b5f,0.6305126818873107
190db8488,0.6305329955385972
01005e5de,0.6305465913802332
04b88be38,0.6306351904965596
b6daeae32,0.6307543599833114
f1e0ada11,0.6307680197930331
d6bb78916,0.6307974424609388
1d04efde3,0.6309023554882948
2ec5b290f,0.6309029106111039
62fb56487,0.6309370001862815
f9e3b03b7,0.6309574096291675
8c0a1fa32,0.6309962971940394
525635722,0.6310653008244043
6eef030c1,0.6310965937466686
6cf7866c1,0.6313219339238766
58232a6fb,0.6313483555290453
ea4046b8d,0.631493098361391
948e00a8d,0.6315279768085162
a39758dae,0.6315673814264193
371da7669,0.6316544467967348
b8f892930,0.6316658251047709
d48c08bda,0.6316738749061211
9de83dc23,0.6316765752243054
d83a2b684,0.6316949252434758
f51378159,0.6317097883033185
