nz_mean,nz_log_mean_exp,nz_median,nz_std,nz_kurtosis,nz_min,sum,max,zero_count,mean,log_mean_exp,median,std,kurtosis
7066356.209019609,2858972.5746231447,2400000.0,10020033.013412165,3.340088848204297,250000.0,720768333.32,40000000.0,4889,144413.61116409537,0.35501526066177513,0.0,1741260.7006675804,321.63801167646153
7939800.995223882,4303260.5674269395,2225000.0,10662378.282941153,6.20840541974561,800000.0,531966666.68,50000000.0,4924,106585.18667200961,0.22758955769385655,0.0,1529293.53579029,591.0405384438266
4233333.333333333,2473861.227665747,4000000.0,3651268.9172234843,0.4193021590427559,200000.0,76200000.0,12000000.0,4973,15267.481466639952,0.054526882880876947,0.0,331407.5822209799,837.6422768066934
1517757.5754545454,401780.97292382707,261333.33000000002,2185158.7770836833,0.5329849471815775,2000.0,33390666.66,6000000.0,4969,6690.1756481667,0.05852719863753197,0.0,173799.25555791982,1026.4754589265865
6872846.153846154,2567102.4894960853,4700000.0,9734324.871062431,6.880201776325428,60000.0,178694000.0,37662000.0,4965,35803.24584251653,0.07991408636059143,0.0,848276.0500400955,1573.1329395407827
7034326.5004993435,914298.745765254,2489000.0,13380065.523184672,118.30790627129777,4000.0,5353122466.88,200000000.0,4230,1072555.0925425766,7.107999803239557,0.0,5801906.414867245,590.324466939508
6630008.882205882,177550.50559940352,78000.0,14383637.07225898,3.9403162147365456,2000.0,901681207.98,50000000.0,4855,180661.43217391305,0.390077753189526,0.0,2600496.040318353,301.0970766450168
25126400.0,6744921.689204807,9600000.0,32918102.955354374,0.542812361246412,200000.0,753792000.0,100000000.0,4961,151030.25445802446,0.09912667449031373,0.0,3173369.825119707,719.8773966229619
1047582.9597309418,96715.70421204432,58000.0,2468885.4493024466,29.980159137109933,4000.0,233611000.02,20000000.0,4768,46806.45161691044,0.6701455632675102,0.0,563941.5700435364,659.4426070389069
1370526.0648979594,555501.9918531924,600000.0,1984420.9818094894,4.850541862880041,60000.0,67155777.17999999,8108000.0,4942,13455.37511120016,0.13867410875176778,0.0,236946.00623167944,762.5683037152734
56206441.31464789,2745122.1283861245,1800000.0,119255324.23784843,1.423219495846194,80000.0,3990657333.34,356000000.0,4920,799570.6939170507,0.23478812546751157,0.0,15614584.542661678,418.3923457656359
2171223.744383562,539916.3139394493,440000.0,3650772.4889694816,5.08339895849824,14000.0,158499333.34,18000000.0,4918,31757.0293207774,0.2129499896624661,0.0,510163.2634288119,563.486426381416
857699.2452830189,218900.71768815714,200000.0,1478321.713253358,13.0780978797835,2000.0,45458060.0,8480000.0,4938,9108.006411540773,0.13948527370033165,0.0,174655.6509166738,1256.8702623010133
13634277.278857144,3987345.4950170955,4000000.0,26372953.854512528,16.65774919362845,40000.0,4771997047.6,186300000.0,4641,956120.4262873173,1.903227468953074,0.0,7795495.303044509,253.4239146494732
